Date,Open,High,Low,Close,Volume
2019-03-26,95.1193,95.1288,95.1107,95.1288,2113635
2019-03-27,95.1382,95.1382,95.1193,95.1193,1328066
2019-03-28,95.1469,95.1544,95.1382,95.1469,4658320
2019-03-29,95.1469,95.1544,95.1469,95.1544,2828898
2019-04-01,95.1706,95.1706,95.1544,95.1544,2178520
2019-04-02,95.1706,95.1791,95.1621,95.1791,2994962
2019-04-03,95.1791,95.1877,95.1621,95.1621,5393062
2019-04-04,95.1971,95.2057,95.1877,95.2057,1000513
2019-04-05,95.2057,95.2057,95.1877,95.1971,1310649
2019-04-08,95.2057,95.2133,95.1971,95.2133,2914427
2019-04-09,95.2057,95.2133,95.1971,95.1971,3953368
2019-04-10,95.2057,95.223,95.2057,95.223,1762154
2019-04-11,95.223,95.2485,95.223,95.2485,2370499
2019-04-12,95.24,95.2485,95.2324,95.2485,3887590
2019-04-15,95.24,95.2485,95.24,95.24,1138221
2019-04-16,95.24,95.256,95.24,95.256,1066996
2019-04-17,95.2646,95.2826,95.256,95.2826,948735
2019-04-18,95.2742,95.2826,95.2646,95.2742,604468
2019-04-22,95.2742,95.2826,95.2742,95.2742,1644486
2019-04-23,95.2742,95.2826,95.2742,95.2742,1908942
2019-04-24,95.2826,95.3102,95.2826,95.3102,2041496
2019-04-25,95.3102,95.3294,95.3102,95.3294,1983238
2019-04-26,95.3294,95.3378,95.3197,95.3378,744061
2019-04-29,95.3378,95.3378,94.9772,95.3378,828090
2019-04-30,95.3378,95.3378,95.3294,95.3378,1654113
2019-05-01,95.3473,95.3634,95.3473,95.357,1940817
2019-05-02,95.3634,95.3729,95.357,95.3729,1278264
2019-05-03,95.3729,95.3826,95.357,95.3729,1707810
2019-05-06,95.3826,95.3826,95.3634,95.3826,1249405
2019-05-07,95.3729,95.3918,95.3729,95.3918,1209572
2019-05-08,95.3826,95.4005,95.3826,95.3918,1304261
2019-05-09,95.4005,95.419,95.4005,95.419,1400764
2019-05-10,95.419,95.4277,95.223,95.419,1162176
2019-05-13,95.419,95.4365,95.419,95.4365,2069667
2019-05-14,95.4365,95.4448,95.4277,95.4448,4448920
2019-05-15,95.4448,95.4534,95.4365,95.4448,1345164
2019-05-16,95.4534,95.4695,95.4534,95.4695,1371730
2019-05-17,95.4622,95.4695,95.4622,95.4695,891121
2019-05-20,95.4695,95.4774,95.4622,95.4622,829440
2019-05-21,95.4695,95.4774,95.4695,95.4774,811646
2019-05-22,95.4774,95.4859,95.3197,95.4859,1832451
2019-05-23,95.5041,95.5136,95.5041,95.5136,1127899
2019-05-24,95.522,95.5317,95.5041,95.522,1851801
2019-05-28,95.522,95.5317,95.5136,95.522,1731806
2019-05-29,95.5317,95.5412,95.522,95.522,2730982
2019-05-30,95.5412,95.5585,95.5412,95.5498,1762834
2019-05-31,95.5585,95.5765,95.5585,95.5765,3681569
2019-06-03,95.5919,95.6108,95.2922,95.6108,4866217
2019-06-04,95.6187,95.6187,95.3729,95.6014,3188571
2019-06-05,95.6279,95.6463,95.6187,95.6376,15622148
2019-06-06,95.6546,95.6634,95.6463,95.6546,18535028
2019-06-07,95.6805,95.6892,95.6634,95.6634,15668792
2019-06-10,95.6719,95.6805,95.6634,95.6805,3427559
2019-06-11,95.6719,95.6805,95.4695,95.6719,2197247
2019-06-12,95.6719,95.6892,95.6719,95.6805,1354230
2019-06-13,95.6892,95.7262,95.6892,95.7262,1728189
2019-06-14,95.7168,95.736,95.7168,95.736,2098066
2019-06-17,95.7262,95.736,95.7168,95.736,3181094
2019-06-18,95.736,95.736,95.7168,95.736,2028183
2019-06-19,95.736,95.753,95.7168,95.736,1622083
2019-06-20,95.7721,95.7959,95.7721,95.7883,2125410
2019-06-21,95.7788,95.7883,95.7721,95.7788,1437647
2019-06-24,95.7788,95.7883,95.7788,95.7788,1646060
2019-06-25,95.7883,95.7959,95.5136,95.7788,942525
2019-06-26,95.7959,95.7959,95.7883,95.7959,1070316
2019-06-27,95.8045,95.8239,95.7959,95.8239,2261315
2019-06-28,95.8239,95.8239,95.4695,95.8045,2530976
2019-07-01,95.8141,95.8239,95.8045,95.8141,2585093
2019-07-02,95.8239,95.8421,95.8239,95.8334,1988389
2019-07-03,95.8421,95.8613,95.8421,95.8613,1685649
2019-07-05,95.8516,95.8516,95.8239,95.8334,1698764
2019-07-08,95.8421,95.8516,95.8334,95.8516,2460688
2019-07-09,95.8421,95.8516,95.8334,95.8516,1519883
2019-07-10,95.8516,95.869,95.8421,95.869,1413856
2019-07-11,95.869,95.8861,95.869,95.8861,1276401
2019-07-12,95.8861,95.8861,95.869,95.869,1320567
2019-07-15,95.8861,95.8948,95.8776,95.8948,1081420
2019-07-16,95.8948,95.8948,95.8776,95.8776,2783859
2019-07-17,95.8861,95.911,95.8861,95.9033,4753289
2019-07-18,95.9198,95.9476,95.911,95.9292,2750809
2019-07-19,95.9388,95.9388,95.9198,95.9198,1145942
2019-07-22,95.9388,95.9476,95.6546,95.9476,967766
2019-07-23,95.9388,95.9476,95.9198,95.9388,1396009
2019-07-24,95.9388,95.9388,95.9292,95.9388,2022663
2019-07-25,95.9388,95.9562,95.6719,95.9476,1493457
2019-07-26,95.9476,95.9562,95.9388,95.9562,1757970
2019-07-29,95.9562,95.9656,95.9476,95.9562,1328784
2019-07-30,95.9562,95.9656,95.9476,95.9656,1032136
2019-07-31,95.9656,95.9753,95.9388,95.9656,2214185
2019-08-01,95.9753,96.0088,95.9656,96.0088,2026977
2019-08-02,96.0088,96.025,96.0088,96.025,1651564
2019-08-05,96.0433,96.0528,96.0338,96.0433,3415166
2019-08-06,96.0528,96.0606,96.0338,96.0528,3246615
2019-08-07,96.0702,96.0796,96.0606,96.0606,3054149
2019-08-08,96.0796,96.0874,96.0702,96.0796,3183401
2019-08-09,96.0874,96.0941,96.0796,96.0874,1181039
2019-08-12,96.0941,96.1036,95.9033,96.0941,1577420
2019-08-13,96.0941,96.1036,96.0796,96.0874,1407903
2019-08-14,96.0941,96.1036,96.0941,96.1036,2192223
2019-08-15,96.121,96.1573,96.121,96.1476,2343705
2019-08-16,96.1382,96.1573,96.1382,96.1382,6110434
